Products,Brand,New_price,Previous_price
Tresemme Shampoo900ml/Condhtione 900mI(AllRets),Tresemme,Rs 295.00,Rs425.00
Head &Shoulder Supreme Shampoo250ml Congttioner220m Moisture/Repair/Smooth,Head,Rs172.50,Rs 223.U0
Garnier Belle Color Hair Kit (AIl RefS,Garnier,Rs334.50,Rs 474.00
Palette Hair KitAll Refs,Palette,Rs215.00,Rs345.00
DaburVatika HairOn200m/AllReis,DaburVatika,Rs98.50,RS156.00
DaburVatika Hair Cream140mlAllRels,DaburVatika,Rs 89.95,Rs 12t.00
Gatsby Water Gloss300g(All Refs,Gatsby,Rs103.50,Rs I26.60
Hobby Hair GelCrazy150mlAllRefs),Hobby,Rs 29.00,Rs 37.00
Satiskin Body Bath 2lt (AIl/ Refs,Satiskin,Rs 129.95,Rs 208.00
Fruiser Shower Cream800ml AllRefs,Fruiser,Rs 179.95,Rs 244.00
OlivierDe LaGrange Shower Gel 500ml AllReis,OlivierDe,Rs53.95,RS 74.00
Rosanna Pates400g Fusillt/PRigate Spaghetti Made in ltaly,Rosanna,Rs 29.95,Rs42.00
Imperial Comed Beef 340g,Imperial,Rs 114.95,Rs136.12
RizzakGold Supreme Basmati Rice 5Kg (lndia,RizzakGold,Rs 295.00,SPECIAL
